# time x_sun y_sun x_mercury y_mercury x_venus y_venus x_earth y_earth x_mars y_mars x_jupiter y_jupiter x_neptune y_neptune x_uranus y_uranus x_neptune y_neptune energy_error
1.08001 0.000873501 0.000228501 -0.464816 0.0277983 0.0219619 -0.722234 0.856029 0.48935 -1.52761 -0.628385 4.04785 2.92942 29.7724 1.24834 18.2201 1.62159 29.7724 1.24834 -2.6352e-10
1.09001 0.000889021 0.000233811 -0.461843 -0.0539745 0.0956066 -0.715784 0.823101 0.543926 -1.50748 -0.670629 4.03162 2.95304 29.7719 1.25989 18.2189 1.63657 29.7719 1.25989 -1.13862e-10
1.10001 0.000904673 0.000239199 -0.440829 -0.133625 0.16826 -0.701839 0.786784 0.596261 -1.48603 -0.712284 4.01526 2.97656 29.7714 1.27144 18.2176 1.65155 29.7714 1.27144 3.87312e-11
1.11001 0.000920458 0.000244665 -0.40211 -0.207887 0.239157 -0.680529 0.747236 0.646145 -1.46327 -0.753312 3.99877 2.99999 29.7709 1.28299 18.2163 1.66652 29.7709 1.28299 1.9893e-10
1.12001 0.000936377 0.00025021 -0.346384 -0.273324 0.307549 -0.652061 0.704624 0.693378 -1.43922 -0.793673 3.98215 3.02332 29.7705 1.29454 18.2149 1.68149 29.7705 1.29454 3.69812e-10
1.13001 0.00095243 0.000255836 -0.274853 -0.326236 0.372712 -0.616723 0.65913 0.737773 -1.41389 -0.83333 3.96541 3.04656 29.77 1.30609 18.2136 1.69646 29.77 1.30609 5.5119e-10
1.14001 0.000968619 0.000261544 -0.189467 -0.362613 0.433951 -0.574873 0.610948 0.779154 -1.3873 -0.872243 3.94855 3.0697 29.7694 1.31764 18.2123 1.71144 29.7694 1.31764 7.36046e-10
1.15001 0.000984945 0.000267335 -0.0932915 -0.378168 0.490613 -0.526943 0.56028 0.817362 -1.35946 -0.910376 3.93156 3.09275 29.7689 1.32919 18.2109 1.72641 29.7689 1.32919 9.03677e-10
1.16001 0.00100141 0.000273212 0.00897012 -0.368581 0.54209 -0.47343 0.507338 0.852248 -1.3304 -0.947688 3.91444 3.1157 29.7684 1.34074 18.2096 1.74137 29.7684 1.34074 1.00838e-09
1.17001 0.00101801 0.000279175 0.110376 -0.33015 0.587828 -0.414894 0.452343 0.88368 -1.30013 -0.984144 3.89721 3.13855 29.7679 1.35229 18.2082 1.75634 29.7679 1.35229 9.66733e-10
1.18001 0.00103475 0.000285228 0.201344 -0.261111 0.627335 -0.351949 0.395524 0.911541 -1.26869 -1.0197 3.87985 3.1613 29.7674 1.36384 18.2068 1.77131 29.7674 1.36384 6.61087e-10
1.19001 0.00105164 0.000291373 0.270168 -0.163701 0.660184 -0.285259 0.337115 0.935729 -1.23608 -1.05433 3.86236 3.18395 29.7669 1.37539 18.2054 1.78627 29.7669 1.37539 -2.50711e-14
1.20001 0.00106866 0.000297613 0.305431 -0.0461413 0.686018 -0.21553 0.277356 0.956158 -1.20234 -1.08799 3.84476 3.2065 29.7663 1.38694 18.204 1.80124 29.7663 1.38694 -9.498e-10
1.21001 0.00108584 0.000303955 0.300241 0.0775061 0.704559 -0.143503 0.216489 0.972758 -1.16748 -1.12065 3.82703 3.22895 29.7658 1.39849 18.2026 1.8162 29.7658 1.39849 -1.89814e-09
